id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
5057,Kepler-1924 b,6233,7.53 Earths,15.084,2021
5058,Kepler-1925 b,5778,9.28 Earths,15.382,2021
5059,Kepler-1926 b,2177,5.97 Earths,15.8,2021
5060,Kepler-1927 b,3559,11.5 Earths,13.312,2021
5061,Kepler-1928 b,1065,4.63 Earths,12.679,2021
5062,Kepler-1929 b,1658,9.65 Earths,11.788,2021
5063,Kepler-192 b,2126,7.95 Earths,14.308,2014
5064,Kepler-192 c,2126,8.2 Earths,14.308,2014
5065,Kepler-192 d,2126,1.04 Earths,14.308,2016
5066,Kepler-1930 b,899,2.95 Earths,13.447,2021
5067,Kepler-1931 b,2023,7.53 Earths,12.671,2021
5068,Kepler-1932 b,2328,2.91 Earths,15.286,2021
5069,Kepler-1933 b,1070,1.76 Earths,12.81,2021
5070,Kepler-1934 b,1398,0.702 Earths,12.874,2021
5071,Kepler-1935 b,2951,6.82 Earths,14.522,2021
5072,Kepler-1936 b,2842,10.2 Earths,13.393,2021
5073,Kepler-1937 b,2952,9.39 Earths,14.163,2021
5074,Kepler-1938 b,1374,4 Earths,15.246,2021
5075,Kepler-1939 b,619,1.68 Earths,13.622,2021
5076,Kepler-193 b,3292,6.3 Earths,14.712,2014
5077,Kepler-193 c,3292,8 Earths,14.712,2014
5078,Kepler-1940 b,2605,3.01 Earths,15.674,2021
5079,Kepler-1941 b,4875,7.51 Earths,14.943,2021
5080,Kepler-1942 b,2748,5.13 Earths,14.91,2021
5081,Kepler-1943 b,3277,3.02 Earths,13.868,2021
5082,Kepler-1944 b,3511,8.05 Earths,15.582,2021
5083,Kepler-1945 b,,2.21 Earths,13.586,2021
5084,Kepler-1946 b,3269,6.75 Earths,15.508,2021
5085,Kepler-1947 b,1529,1.01 Earths,12.973,2021
5086,Kepler-1948 b,633,1.09 Earths,14.569,2021
5087,Kepler-1949 b,8538,5.56 Earths,15.231,2021
5088,Kepler-194 b,3582,2.89 Earths,14.969,2014
5089,Kepler-194 c,3582,7.22 Earths,14.969,2014
5090,Kepler-194 d,3582,6.35 Earths,14.969,2014
5091,Kepler-1950 b,2274,2.95 Earths,14.845,2021
5092,Kepler-1951 b,4167,6 Earths,14.367,2021
5093,Kepler-1952 b,2779,2.07 Earths,13.828,2021
5094,Kepler-1953 b,1976,2.2 Earths,15.936,2021
5095,Kepler-1954 b,4481,3.9 Earths,15.875,2021
5096,Kepler-1955 b,1466,1.69 Earths,12.609,2021
5097,Kepler-1956 b,1176,1.32 Earths,15.989,2021
5098,Kepler-1957 b,1503,0.79 Earths,15.13,2021
5099,Kepler-1958 b,4307,4.86 Earths,15.486,2021
5100,Kepler-208 c,2529,2.51 Earths,13.561,2014
5101,Kepler-208 d,2529,1.87 Earths,13.561,2014
5102,Kepler-208 e,2529,2.79 Earths,13.561,2014
5103,Kepler-209 b,1882,5.73 Earths,14.132,2014
5104,Kepler-209 c,1882,9.8 Earths,14.132,2014
5105,Kepler-20 b,922,9.7 Earths,12.61,2011
5106,Kepler-20 c,922,12.75 Earths,12.61,2011
5107,Kepler-20 d,922,10.07 Earths,12.61,2011
5108,Kepler-20 e,922,3.08 Earths,12.61,2011
5109,Kepler-20 f,922,14.3 Earths,12.61,2011
5110,Kepler-20 g,922,19.96 Earths,12.61,2016
5111,Kepler-210 b,759,8.96 Earths,14.126,2014
5112,Kepler-210 c,759,12.8 Earths,14.126,2014
5113,Kepler-211 b,1009,2.13 Earths,13.448,2014
5114,Kepler-211 c,1009,18.3 Earths,13.448,2014
5115,Kepler-212 b,2242,1.32 Earths,13.129,2014
